"side","phase","sample","supported","elapsed_usec","trace_sha256","enemy","blocker","miss","invalid","failed","transaction_count","rejected_delivery_count","tie_stable","query_calls","parameter_build_count","node_instantiate_count","node_add_count","valid"
"before","warmup","1","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","warmup","1","True","547472","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","warmup","2","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","warmup","2","True","545979","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","warmup","3","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","warmup","3","True","549953","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","warmup","4","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","warmup","4","True","550674","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","warmup","5","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","warmup","5","True","602378","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","1","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","1","True","544514","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","2","True","555804","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","2","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","3","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","3","True","552504","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","4","True","548242","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","4","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","5","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","5","True","553427","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","6","True","578015","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","6","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","7","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","7","True","559691","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","8","True","559478","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","8","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","9","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","9","True","555314","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","10","True","553521","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","10","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","11","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","11","True","612939","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","12","True","551618","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","12","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","13","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","13","True","552755","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","14","True","550514","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","14","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","15","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","15","True","550882","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","16","True","546402","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","16","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","17","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","17","True","550262","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","18","True","566457","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","18","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","19","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
