"side","phase","sample","elapsed_usec","trace_sha256","parameter_build_count","query_calls","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","terminal_hits","valid"
"before","warmup","1","130198","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","warmup","1","116871","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","warmup","2","130039","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","warmup","2","111265","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","warmup","3","129701","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","warmup","3","124429","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","warmup","4","128614","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","warmup","4","107042","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","warmup","5","127955","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","warmup","5","110100","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","1","132983","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","1","110246","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","2","109557","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","2","133484","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","3","131963","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","3","111433","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","4","111032","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","4","129517","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","5","126531","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","5","109281","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","6","108501","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","6","129325","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","7","128104","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","7","109077","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","8","109423","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","8","131637","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","9","130110","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","9","111485","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","10","107298","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","10","126895","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","11","142962","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"after","measured","11","110108","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"after","measured","12","108717","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","800","12000","24200","24000","200","200","200","0","200","True"
"before","measured","12","129913","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
"before","measured","13","128937","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","24200","12000","24200","24000","200","200","200","0","200","True"
