"side","phase","sample","exit_code","valid","supported","elapsed_usec","trace_sha256","query_calls","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","parameter_build_count","scratch_parameter_count","enemy","blocker","miss","invalid","failed","transactions","rejected_delivery_count","tie_stable","node_instantiate_count","node_add_count"
"before","warmup","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","warmup","1","0","True","True","611878","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","warmup","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","warmup","2","0","True","True","586831","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","warmup","3","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","warmup","3","0","True","True","579279","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","warmup","4","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","warmup","4","0","True","True","576897","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","warmup","5","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","warmup","5","0","True","True","573053","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","measured","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"after","measured","1","0","True","True","583009","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"after","measured","2","0","True","True","575609","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","12000","8000","4000","4000","5000","1000","4","4","2000","1000","1000","0","0","2000","0","True","2000","2000"
"before","measured","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
"before","measured","3","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","","","","","","","","","","","","","","",,,,"",""
