"side","phase","sample","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","parameter_build_count","scratch_parameter_count"
"before","warmup","1","0","True","134263","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","warmup","1","0","True","108650","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","warmup","2","0","True","151094","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","warmup","2","0","True","107697","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","warmup","3","0","True","144196","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","warmup","3","0","True","110390","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","warmup","4","0","True","146997","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","warmup","4","0","True","131451","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","warmup","5","0","True","192149","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","warmup","5","0","True","115229","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","1","0","True","138020","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","1","0","True","101935","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","2","0","True","102244","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","2","0","True","136734","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","3","0","True","132725","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","3","0","True","109465","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","4","0","True","112322","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","4","0","True","137790","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","5","0","True","142639","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","5","0","True","185468","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","6","0","True","330438","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","6","0","True","312950","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","7","0","True","143181","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","7","0","True","142907","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","8","0","True","110635","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","8","0","True","142650","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","9","0","True","151222","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","9","0","True","115303","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","10","0","True","155319","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","10","0","True","180284","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","11","0","True","154856","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","11","0","True","143576","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","12","0","True","129210","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","12","0","True","145963","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","13","0","True","149126","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","13","0","True","108063","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","14","0","True","112538","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","14","0","True","146848","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"before","measured","15","0","True","181587","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
"after","measured","15","0","True","132993","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"after","measured","16","0","True","191064","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","24200","24000","200","200","200","0","800","800"
"before","measured","16","0","True","150324","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24000","200","200","200","0","24200","0"
