"category","runner","exit_code","tests","assertions","log"
"gate","res://combat/tests/run_delivery_reuse_tests.gd","0","10","105","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\03_run_delivery_reuse_tests.log"
"focused","res://combat/tests/run_task34_projectile_cast_transaction_tests.gd","0","11","207","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\04_task34_focused.log"
"direct","res://combat/tests/run_delivery_tests.gd","0","16","56","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\05_run_delivery_tests.log"
"direct","res://combat/tests/run_first_batch_delivery_tests.gd","0","26","163","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\06_run_first_batch_delivery_tests.log"
"direct","res://combat/tests/run_skill_execution_contract_tests.gd","0","16","102","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\07_run_skill_execution_contract_tests.log"
"direct","res://combat/tests/run_delivery_skill_integration_test.gd","0","1","4","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\08_run_delivery_skill_integration_test.log"
"direct","res://combat/tests/run_skill_content_catalog_tests.gd","0","11","231","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\09_run_skill_content_catalog_tests.log"
"direct","res://combat/tests/run_skill_vfx_runtime_tests.gd","0","9","124","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\10_run_skill_vfx_runtime_tests.log"
"direct","res://combat/tests/run_task27_skill_level_effect_tests.gd","0","7","86","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\11_run_task27_skill_level_effect_tests.log"
"task20_non_gate","res://combat/tests/run_compact_hud_reward_tests.gd","0","7","68","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\direct\13_task20_non_gate.log"
