"side","fixture","phase","round","order","exit_code","valid","supported","elapsed_usec","trace_sha256","query_calls","parameter_build_count","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","scratch_parameter_count","enemy","blocker","miss","invalid","failed","transaction_count","rejected_delivery_count","node_instantiate_count","node_add_count","node_free_count","prepare_calls","prepare_reject_count","prepared_delivery_count","tie_stable","log"
"before","fury","warmup","1","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\warmup_01.log"
"after","fury","warmup","1","2","0","True","True","566693","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\warmup_01.log"
"before","fury","warmup","2","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\warmup_02.log"
"after","fury","warmup","2","2","0","True","True","690728","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\warmup_02.log"
"before","fury","warmup","3","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\warmup_03.log"
"after","fury","warmup","3","2","0","True","True","581766","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\warmup_03.log"
"before","fury","warmup","4","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\warmup_04.log"
"after","fury","warmup","4","2","0","True","True","568851","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\warmup_04.log"
"before","fury","warmup","5","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\warmup_05.log"
"after","fury","warmup","5","2","0","True","True","577564","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\warmup_05.log"
"before","fury","measured","1","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_01.log"
"after","fury","measured","1","2","0","True","True","635132","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_01.log"
"before","fury","measured","2","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_02.log"
"after","fury","measured","2","1","0","True","True","597239","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_02.log"
"before","fury","measured","3","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_03.log"
"after","fury","measured","3","2","0","True","True","584685","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_03.log"
"before","fury","measured","4","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_04.log"
"after","fury","measured","4","1","0","True","True","581155","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_04.log"
"before","fury","measured","5","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_05.log"
"after","fury","measured","5","2","0","True","True","619207","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_05.log"
"before","fury","measured","6","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_06.log"
"after","fury","measured","6","1","0","True","True","572694","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_06.log"
"before","fury","measured","7","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_07.log"
"after","fury","measured","7","2","0","True","True","587058","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_07.log"
"before","fury","measured","8","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_08.log"
"after","fury","measured","8","1","0","True","True","634511","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_08.log"
"before","fury","measured","9","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_09.log"
"after","fury","measured","9","2","0","True","True","600183","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_09.log"
"before","fury","measured","10","2","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_10.log"
"after","fury","measured","10","1","0","True","True","594440","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_10.log"
"before","fury","measured","11","1","0","True","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\before\measured_11.log"
"after","fury","measured","11","2","0","True","True","587446","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","4000","4","12000","8000","4000","4000","5000","1000","4","2000","1000","1000","0","0","2000","0","2000","2000","2000","2000","0","2000","True","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\fury\after\measured_11.log"
