"side","fixture","phase","round","order","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","parameter_build_count","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","scratch_parameter_count","terminal_hits","health_match_count","log"
"before","projectile","warmup","1","1","0","True","158204","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\warmup_01.log"
"after","projectile","warmup","1","2","0","True","149772","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\warmup_01.log"
"before","projectile","warmup","2","1","0","True","146721","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\warmup_02.log"
"after","projectile","warmup","2","2","0","True","136258","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\warmup_02.log"
"before","projectile","warmup","3","1","0","True","158239","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\warmup_03.log"
"after","projectile","warmup","3","2","0","True","125312","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\warmup_03.log"
"before","projectile","warmup","4","1","0","True","159598","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\warmup_04.log"
"after","projectile","warmup","4","2","0","True","148368","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\warmup_04.log"
"before","projectile","warmup","5","1","0","True","159045","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\warmup_05.log"
"after","projectile","warmup","5","2","0","True","134265","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\warmup_05.log"
