"Log","Marker","Count"
"01_initial_editor_scan.log","SCRIPT ERROR","0"
"01_initial_editor_scan.log","Parse Error","0"
"01_initial_editor_scan.log","ERROR:","0"
"01_initial_editor_scan.log","WARNING:","0"
"01_initial_editor_scan.log","CrashHandlerException","0"
"02_task48_dodge_integration.log","SCRIPT ERROR","0"
"02_task48_dodge_integration.log","Parse Error","0"
"02_task48_dodge_integration.log","ERROR:","0"
"02_task48_dodge_integration.log","WARNING:","0"
"02_task48_dodge_integration.log","CrashHandlerException","0"
"03_agent_d_integration.log","SCRIPT ERROR","0"
"03_agent_d_integration.log","Parse Error","0"
"03_agent_d_integration.log","ERROR:","0"
"03_agent_d_integration.log","WARNING:","0"
"03_agent_d_integration.log","CrashHandlerException","0"
"04_skill_content_catalog.log","SCRIPT ERROR","0"
"04_skill_content_catalog.log","Parse Error","0"
"04_skill_content_catalog.log","ERROR:","0"
"04_skill_content_catalog.log","WARNING:","0"
"04_skill_content_catalog.log","CrashHandlerException","0"
"05_task31_full_run_e2e.log","SCRIPT ERROR","0"
"05_task31_full_run_e2e.log","Parse Error","0"
"05_task31_full_run_e2e.log","ERROR:","0"
"05_task31_full_run_e2e.log","WARNING:","0"
"05_task31_full_run_e2e.log","CrashHandlerException","0"
"06_main_scene_smoke_180.log","SCRIPT ERROR","0"
"06_main_scene_smoke_180.log","Parse Error","0"
"06_main_scene_smoke_180.log","ERROR:","0"
"06_main_scene_smoke_180.log","WARNING:","0"
"06_main_scene_smoke_180.log","CrashHandlerException","0"
"07_task48_viewport_capture.log","SCRIPT ERROR","0"
"07_task48_viewport_capture.log","Parse Error","0"
"07_task48_viewport_capture.log","ERROR:","0"
"07_task48_viewport_capture.log","WARNING:","0"
"07_task48_viewport_capture.log","CrashHandlerException","0"
"08_final_editor_scan.log","SCRIPT ERROR","0"
"08_final_editor_scan.log","Parse Error","0"
"08_final_editor_scan.log","ERROR:","0"
"08_final_editor_scan.log","WARNING:","0"
"08_final_editor_scan.log","CrashHandlerException","0"
