"Log","SCRIPT_ERROR","Parse_Error","ERROR","WARNING","CrashHandlerException"
"logs/01_initial_editor_scan.log","0","0","0","0","0"
"logs/02_task49_specialist.log","0","0","0","0","0"
"logs/03_task29_flow_contract.log","0","0","0","0","0"
"logs/04_task31_content_balance.log","0","0","0","0","0"
"logs/05_task32_four_passive.log","0","0","0","0","0"
"logs/06_task41_physical_flow.log","0","0","0","0","0"
"logs/07_task42_reward_economy.log","0","0","0","0","0"
"logs/08_task43_loadout_cleanup.log","0","0","0","0","0"
"logs/09_combat_task29_real_flow.log","0","0","0","0","0"
"logs/10_combat_task30_ui.log","0","0","0","0","0"
"logs/11_combat_task31_e2e.log","0","0","0","0","0"
"logs/12_combat_task40_drag.log","0","0","0","0","0"
"logs/13_task49_six_image_capture.log","0","0","0","0","0"
