col,row,name,blank_manifest,alpha_bbox_local,visible_pixels,partial_alpha_pixels,touch_left,touch_right,touch_top,touch_bottom,outside_cell_pixels
0,0,background_wall_base_a_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,0,background_wall_base_b_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,0,background_wall_base_c_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,0,background_wall_base_d_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
4,0,background_wall_crack_a_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,0,background_wall_crack_b_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,0,background_wall_deep_groove_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,0,background_wall_dark_arch_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
8,0,background_wall_macro_block_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
9,0,background_wall_base_e_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
10,0,background_wall_base_f_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,0,background_wall_base_g_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
12,0,background_wall_base_h_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,0,background_wall_tide_mark_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,0,background_wall_damp_patch_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
15,0,background_wall_sealed_niche_r0,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,1,background_wall_base_a_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,1,background_wall_base_b_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,1,background_wall_base_c_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,1,background_wall_base_d_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
4,1,background_wall_crack_a_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,1,background_wall_crack_b_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,1,background_wall_deep_groove_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,1,background_wall_dark_arch_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
8,1,background_wall_macro_block_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
9,1,background_wall_base_e_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
10,1,background_wall_base_f_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,1,background_wall_base_g_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
12,1,background_wall_base_h_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,1,background_wall_tide_mark_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,1,background_wall_damp_patch_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
15,1,background_wall_sealed_niche_r1,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,2,background_wall_base_a_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,2,background_wall_base_b_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,2,background_wall_base_c_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,2,background_wall_base_d_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
4,2,background_wall_crack_a_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,2,background_wall_crack_b_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,2,background_wall_deep_groove_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,2,background_wall_dark_arch_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
8,2,background_wall_macro_block_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
9,2,background_wall_base_e_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
10,2,background_wall_base_f_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,2,background_wall_base_g_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
12,2,background_wall_base_h_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,2,background_wall_tide_mark_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,2,background_wall_damp_patch_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
15,2,background_wall_sealed_niche_r2,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,3,background_wall_base_a_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,3,background_wall_base_b_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,3,background_wall_base_c_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,3,background_wall_base_d_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
4,3,background_wall_crack_a_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,3,background_wall_crack_b_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,3,background_wall_deep_groove_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,3,background_wall_dark_arch_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
8,3,background_wall_macro_block_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
9,3,background_wall_base_e_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
10,3,background_wall_base_f_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,3,background_wall_base_g_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
12,3,background_wall_base_h_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
13,3,background_wall_tide_mark_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
14,3,background_wall_damp_patch_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
15,3,background_wall_sealed_niche_r3,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
0,4,tidal_stone_solid_isolated_m000,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
1,4,tidal_stone_solid_endpoint_n_m001,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
2,4,tidal_stone_solid_endpoint_e_m004,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
3,4,tidal_stone_solid_corner_ne_inner_ne_m005,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
4,4,tidal_stone_solid_corner_ne_m007,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
5,4,tidal_stone_solid_endpoint_s_m016,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
6,4,tidal_stone_solid_straight_ns_m017,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
7,4,tidal_stone_solid_corner_es_inner_se_m020,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
8,4,tidal_stone_solid_tee_open_w_inner_ne_se_m021,no,"(0, 0, 32, 32)",968,0,true,true,true,true,0
9,4,tidal_stone_solid_tee_open_w_inner_se_m023,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
10,4,tidal_stone_solid_corner_es_m028,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
11,4,tidal_stone_solid_tee_open_w_inner_ne_m029,no,"(0, 0, 32, 32)",996,0,true,true,true,true,0
12,4,tidal_stone_solid_tee_open_w_m031,no,"(0, 0, 32, 32)",1024,0,true,true,true,true,0
