col,row,left_sig,right_sig,top_sig,bottom_sig
0,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
1,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
2,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
3,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
4,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
5,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
6,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
7,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
8,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
9,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
10,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
11,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
12,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
13,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
14,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
15,0,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
0,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
1,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
2,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
3,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
4,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
5,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
6,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
7,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
8,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
9,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
10,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
11,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
12,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
13,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
14,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
15,1,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
0,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
1,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
2,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
3,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
4,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
5,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
6,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
7,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
8,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
9,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
10,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
11,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
12,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
13,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
14,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
15,2,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
0,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
1,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
2,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
3,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
4,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
5,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
6,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
7,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
8,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
9,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
10,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
11,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
12,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
13,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
14,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
15,3,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49,3ded79beb55f4d49
0,4,52fdf7572bee5f6c,33f4161b096b1424,72f8d27c7e198d09,bd6c78bff83497bb
1,4,5b56028537f7636a,91a21dcfbabadd0d,2e1c883cb7002eb6,bd6c78bff83497bb
2,4,52fdf7572bee5f6c,fc5bb658af6b9a15,9b744c81e903277d,bd6c78bff83497bb
3,4,5b56028537f7636a,1a8ba545f9dd071c,b67a52e865456ff2,bd6c78bff83497bb
4,4,5b56028537f7636a,5f18e9e5e941e3f5,704f411ea497f197,bd6c78bff83497bb
5,4,b5f562ae721da82f,e63d48e5f29fba17,72f8d27c7e198d09,f16a5ea04f32db57
6,4,99f4c50090bc0ae9,91a21dcfbabadd0d,f83fb088ef0189b0,d05c8c9805f08cf5
7,4,b5f562ae721da82f,625d463003f88c97,9b744c81e903277d,2faa7a8a413eb31f
8,4,99f4c50090bc0ae9,1625aec78bf3bde5,b67a52e865456ff2,b99854cc6f461cdd
9,4,99f4c50090bc0ae9,ef99d5b184bc5b28,86148fb8a56e5977,a5fe0496d1bd54a4
10,4,b5f562ae721da82f,f7f16360e80597ca,9b744c81e903277d,3bdb57dd1a2561e8
11,4,99f4c50090bc0ae9,a85b7089ec924322,b67a52e865456ff2,6f1d2227923613c4
12,4,99f4c50090bc0ae9,69590b36db1167e3,704f411ea497f197,6f1d2227923613c4
13,4,804f06caefecd2b1,33f4161b096b1424,8dbb3789a76de9b7,bd6c78bff83497bb
14,4,51d76bf42d89741e,91a21dcfbabadd0d,99b5688a2dacaac3,bd6c78bff83497bb
15,4,f5fa3661761a2823,ff91eb9acb0df5c2,716c6f588a47c47c,bd6c78bff83497bb
0,5,51d76bf42d89741e,1a8ba545f9dd071c,ce0f90652bb54c1d,bd6c78bff83497bb
1,5,e2ddea53a2ae40e8,d226111a600ecc3d,3ae46b7f7f13b1ea,bd6c78bff83497bb
2,5,4c554319be54a2f4,e63d48e5f29fba17,8dbb3789a76de9b7,f8141e914f516327
3,5,3553189b01a2330e,91a21dcfbabadd0d,99b5688a2dacaac3,16acabda1d2e5e75
4,5,b3e5bfd5fe109a02,3f0bca82b61571ec,716c6f588a47c47c,7de2eb0117d4796c
5,5,ce9402aa7d2b6145,e1f0558a185dd5eb,63f79575297bec83,1e0d2cb88f7ea006
6,5,3553189b01a2330e,fcdaf12c9c9ad0d8,2273623321fac56b,9746279bec9307ab
7,5,b3e5bfd5fe109a02,ccad63f75ad89ad0,716c6f588a47c47c,388bdabb00a1c3d5
8,5,3553189b01a2330e,a85b7089ec924322,ce0f90652bb54c1d,f8a9e729c29a2258
9,5,ce9402aa7d2b6145,da2e835b4355ff7d,3ae46b7f7f13b1ea,199289ecd38af2b6
10,5,79f0d7f04cbc1ebe,e63d48e5f29fba17,8dbb3789a76de9b7,b9d239e0310572f1
11,5,2ca24003bb6df178,91a21dcfbabadd0d,99b5688a2dacaac3,cf6c1c6b73e157dc
12,5,32c2a90bf0f81395,3f0bca82b61571ec,716c6f588a47c47c,2e08ac0ad34bbf6c
13,5,5b27eb10c27a40cd,e1f0558a185dd5eb,63f79575297bec83,28bf8a3726bfec2b
14,5,2ca24003bb6df178,fcdaf12c9c9ad0d8,2273623321fac56b,f2e40d7dd05a8e0f
15,5,32c2a90bf0f81395,ccad63f75ad89ad0,716c6f588a47c47c,47c5f3d6f7229345
0,6,2ca24003bb6df178,a85b7089ec924322,ce0f90652bb54c1d,0f0a8beeb00aeb10
1,6,5b27eb10c27a40cd,da2e835b4355ff7d,3ae46b7f7f13b1ea,7d791e7f1789d9bd
2,6,3883807694fbc14f,91a21dcfbabadd0d,9caead6fb2e53433,bd6c78bff83497bb
3,6,3883807694fbc14f,1a8ba545f9dd071c,6ab00c353f825ae1,bd6c78bff83497bb
4,6,3883807694fbc14f,5f18e9e5e941e3f5,7ab1fe5cca75a51d,bd6c78bff83497bb
5,6,828a6a2d12bcd33f,91a21dcfbabadd0d,28edd2ebfb6da0d7,e0d41fca5d37f5d4
6,6,d916ba9187c705c8,1625aec78bf3bde5,6ab00c353f825ae1,9746279bec9307ab
7,6,d916ba9187c705c8,fcdaf12c9c9ad0d8,7ab1fe5cca75a51d,9746279bec9307ab
8,6,d916ba9187c705c8,a85b7089ec924322,6ab00c353f825ae1,f8a9e729c29a2258
9,6,828a6a2d12bcd33f,da2e835b4355ff7d,d84a1a97f8f50f22,199289ecd38af2b6
10,6,452b7b49e94ce248,91a21dcfbabadd0d,9caead6fb2e53433,cf6c1c6b73e157dc
11,6,452b7b49e94ce248,1625aec78bf3bde5,6ab00c353f825ae1,f2e40d7dd05a8e0f
12,6,452b7b49e94ce248,fcdaf12c9c9ad0d8,7ab1fe5cca75a51d,f2e40d7dd05a8e0f
13,6,0aea06949ee045d6,7db60dcd9dab3bec,4ceb5558a9f97760,7d791e7f1789d9bd
14,6,452b7b49e94ce248,69590b36db1167e3,7ab1fe5cca75a51d,0f0a8beeb00aeb10
15,6,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,7,32c2a90bf0f81395,ccad63f75ad89ad0,716c6f588a47c47c,47c5f3d6f7229345
1,7,32c2a90bf0f81395,ccad63f75ad89ad0,716c6f588a47c47c,47c5f3d6f7229345
2,7,32c2a90bf0f81395,ccad63f75ad89ad0,716c6f588a47c47c,47c5f3d6f7229345
3,7,99f4c50090bc0ae9,91a21dcfbabadd0d,f83fb088ef0189b0,d05c8c9805f08cf5
4,7,99f4c50090bc0ae9,91a21dcfbabadd0d,2e1c883cb7002eb6,5624ca118d5cd449
5,7,99f4c50090bc0ae9,91a21dcfbabadd0d,f83fb088ef0189b0,d05c8c9805f08cf5
6,7,51d76bf42d89741e,1a8ba545f9dd071c,ce0f90652bb54c1d,bd6c78bff83497bb
7,7,ce9402aa7d2b6145,e1f0558a185dd5eb,63f79575297bec83,1e0d2cb88f7ea006
8,7,5b56028537f7636a,1a8ba545f9dd071c,b67a52e865456ff2,bd6c78bff83497bb
9,7,b3e5bfd5fe109a02,ccad63f75ad89ad0,716c6f588a47c47c,388bdabb00a1c3d5
10,7,32c2a90bf0f81395,3f0bca82b61571ec,716c6f588a47c47c,2e08ac0ad34bbf6c
11,7,452b7b49e94ce248,69590b36db1167e3,7ab1fe5cca75a51d,0f0a8beeb00aeb10
12,7,0aea06949ee045d6,da2e835b4355ff7d,d84a1a97f8f50f22,7d791e7f1789d9bd
13,7,452b7b49e94ce248,69590b36db1167e3,7ab1fe5cca75a51d,0f0a8beeb00aeb10
14,7,2ca24003bb6df178,a85b7089ec924322,ce0f90652bb54c1d,0f0a8beeb00aeb10
15,7,d916ba9187c705c8,a85b7089ec924322,6ab00c353f825ae1,f8a9e729c29a2258
0,8,80546a68cd492e38,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
1,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
2,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
3,8,40c9af83dda5a4f4,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
4,8,40c9af83dda5a4f4,7407297760785ef1,38723a2e5e8a17aa,38723a2e5e8a17aa
5,8,faf87530fe7f6ef7,40c9af83dda5a4f4,38723a2e5e8a17aa,38723a2e5e8a17aa
6,8,40c9af83dda5a4f4,b18a6bc5598808ae,38723a2e5e8a17aa,38723a2e5e8a17aa
7,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,2c323af119dcef2c
8,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,388b02e40215c6fd
9,8,38723a2e5e8a17aa,38723a2e5e8a17aa,6d1b2156c23f2953,38723a2e5e8a17aa
10,8,38723a2e5e8a17aa,38723a2e5e8a17aa,6d1b2156c23f2953,38723a2e5e8a17aa
11,8,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
