col,row,name,pixel_sha256,duplicate_group_size
0,0,background_wall_base_a_r0,056806B1B90BBC455FFDE3760C3097F44A42BCD80D85ECA755E96CD54189C9F9,1
1,0,background_wall_base_b_r0,C4BE9CD68F10772580A01A4291D209F0729BABB825F095947A336B1C1F2B79D6,1
2,0,background_wall_base_c_r0,7EED16B1C6DD3F6A9751FC7E9D806AF95B4DA7943E5B5362D8790894E5F7FAA4,1
3,0,background_wall_base_d_r0,FF5562E1873F489A2D501CFA8223CCCF1CE7879D16A7A3B9BC4F798B85C387FA,1
4,0,background_wall_crack_a_r0,0F092AB2A3EE93224C9D1223E5055291A7E82186BABC294502AF3B7845F851B6,1
5,0,background_wall_crack_b_r0,3778EE84EDC4BA2B90BD780F7C76271AE6A7908D98B0BC7AE4CA0A5ED2611A8E,1
6,0,background_wall_deep_groove_r0,6E95474416913F8ACF43603172E588F26269A49ADC243D689375C14BE80CB2A8,1
7,0,background_wall_dark_arch_r0,AF4F7BBD99E80F5CE6CD32E6ED6ABD6616B0B33B0925C249A9325BEFD0B2043D,1
8,0,background_wall_macro_block_r0,A9ED6A62DB318AC3BFC530EA393D322D99E52AD688972F285E5E7328655B8F19,1
9,0,background_wall_base_e_r0,BA531717893B2CDB8AB5E4EBDB41812D8559E168654F15F800218A0551CDDD69,1
10,0,background_wall_base_f_r0,2203DA2AFD0F47D08AFDB7CDBDF46173314D84606B9969DEF6A84287B0E1B4F4,1
11,0,background_wall_base_g_r0,93ED893FFF45FA60F571DB8C90FC6F88FE8116E37D0004975D3C1C237DF35646,1
12,0,background_wall_base_h_r0,4FB23799317C53A2C8B85124D37FE4F8E4E7D1D7503EBAA2548C5F9A75B1B870,1
13,0,background_wall_tide_mark_r0,B25A873D0044B5C41C5AF2981CE0A5B185D2F7FCF65CF87830361A6F0A1834F9,1
14,0,background_wall_damp_patch_r0,5C7E9EA10045CEE6B88020B5EAA87C2DBE1619BD6221D05D8B2A4B3F89EC31C5,1
15,0,background_wall_sealed_niche_r0,E2AD5ED41CDE52BA9173E6F2C9F61AA4E255CBC0690E94623B8D6A9EAF178966,1
0,1,background_wall_base_a_r1,550C90A5BF3048B3A876DDFF71016202214CFAF37A81735ADA0C6E8E3D521F24,1
1,1,background_wall_base_b_r1,83D3A6CE83918CB139C124F959F7A54C6BF5BCC374C6A9C34205A500FBAA32E6,1
2,1,background_wall_base_c_r1,2642066BA6BAA15AC7F205934021F13707C2942D2CD5361CB147E754E466386E,1
3,1,background_wall_base_d_r1,087F58D9A07D4D3BA63BC4CFF4A817D380B4709578E1EA16870803297969980C,1
4,1,background_wall_crack_a_r1,27023A311E62D212A774E359815D3AD26C7EF1C213FA3702DF5D3D3BE4028205,1
5,1,background_wall_crack_b_r1,93445A965324B86A0DBDF9390775893BB01309922B8348CC2FF510427DDB012C,1
6,1,background_wall_deep_groove_r1,4C84260ECD044331FCE5ED9F64E246A9DBAACCA75E74AB5C246A605470F6494E,1
7,1,background_wall_dark_arch_r1,EC6885620ED7F7520AF5AA3903E787AE0ECEF1517B431A7EFF53F282F1149EBA,1
8,1,background_wall_macro_block_r1,C4762D62DEAABAA48361054F084C7A4FE603CB9AC644E60D71F393C7C353F043,1
9,1,background_wall_base_e_r1,0A7DD1AE10E7D73A55613C8AF6F7F7117B4E9D40C9839E707FB3A8AAE7079EC8,1
10,1,background_wall_base_f_r1,619F2209F5BD302C974D08EEE5341D9C5A32A840CDFAEFA095779999AD89EBDA,1
11,1,background_wall_base_g_r1,728F50988247BE805ABE4581B0D3EFCF32C1766302E6A785B9A94D78258EDD66,1
12,1,background_wall_base_h_r1,B95CADFC03AF49F479DF799961AE8C2B8B3726D0F02927DC2A23B30ACB239C0E,1
13,1,background_wall_tide_mark_r1,00858BD9F17C73DF9B30999B1F4BCF34BD68632F82BCB7D5797F83A6C349E0F1,1
14,1,background_wall_damp_patch_r1,DD6F4874568161D06CA1757B56FB98EC6E1EDCF88123EC36DF01448F686D3799,1
15,1,background_wall_sealed_niche_r1,06856A0BBFB05ECF7EC66B841DD576923D48E03BD1DC5F7CCBC5715FC0928B36,1
0,2,background_wall_base_a_r2,577810E9BFDC12334586794AC4BE60C19F8EFC908008E253664C9ABEB4302837,1
1,2,background_wall_base_b_r2,6A36B1D83FFF066C3E456325EBF8F3CF965751CEE8FDA8642AAB70AEDD4FE3BA,1
2,2,background_wall_base_c_r2,82D51101CC1FE7D767A59D87D00C071AAB87EF56C5A3E74C5EEF62068A2FE246,1
3,2,background_wall_base_d_r2,64F0517F2AFCE7BA6827114C5FFA998B91F07D93B2AA4C47795FF7EEF4EFB246,1
4,2,background_wall_crack_a_r2,728A8AF39BCD2BC028DF58B8B33DA550CF7C80E4E26A688A3FA5B510E54E5008,1
5,2,background_wall_crack_b_r2,9C88AAFBA83E477AB36A4A7AC401447D04B2571FB84D3A8C9955E7CBC8BBAF1E,1
6,2,background_wall_deep_groove_r2,965513CA96EE6917D9ED40696F2B0AD3A91D680E506AE34358C57AF3FDDD179B,1
7,2,background_wall_dark_arch_r2,D26333EB859BEB9D0F39D3F18329283EEFD99E3D853DB05D8564207D9DB09863,1
8,2,background_wall_macro_block_r2,B39393D9CF3899EB3F0842749D7086ED17AB59832D6909359D755998B434DF3C,1
9,2,background_wall_base_e_r2,074ECC204FFA933DE59EC9F04339C58B156BDB5C7B91AB9B2404DC6643B55B52,1
10,2,background_wall_base_f_r2,953373133E7323D5B7D0CAA9044E4D7A5517B42F15366CD1E974AEA9B9E5FCE7,1
11,2,background_wall_base_g_r2,129BCDC9D4722A02982548F19C82841509AAFD953514784EBB3E6610F79CB533,1
12,2,background_wall_base_h_r2,8DFFADA74E6C77D48C47256BB0C50136B08061B0C966B30FE53CFD45B85FEAB8,1
13,2,background_wall_tide_mark_r2,147A770AAD7E23B4FB182FBC14C50BA5492DBA90BB4C0DD35544D42BD785791E,1
14,2,background_wall_damp_patch_r2,9B268F8CC7BF069B073D0F4A4A83512D5501631A53BE4FAA53F320A476FED2D9,1
15,2,background_wall_sealed_niche_r2,FFA1E721CA35F2C6065DB25BFBCC391D6BB0E6AC048F6DB21D312550EAAAD710,1
0,3,background_wall_base_a_r3,24B18A9439AB8542D42C540634D99C1B70F066D9BB22655584407C7A23CEE120,1
1,3,background_wall_base_b_r3,8DF0B9EA1559E71A2293DA2FF3CAAB43D6A3776CE5116BB93C3B7F84F06A68B9,1
2,3,background_wall_base_c_r3,C9B7260D5B176C1BC553A7FD9C961F4334F237DBC350E24E867D77A4B235332B,1
3,3,background_wall_base_d_r3,B316A7349F27B2CA9E3259FF6A76A60C7C85FA4BBA6562D6F429A30BAD6E7A46,1
4,3,background_wall_crack_a_r3,F6CBBBD4D8DDBEA069A81492925C8EB4B60D6CABCACACB20D3D4A42CD2A0C536,1
5,3,background_wall_crack_b_r3,0854BB8833EBE79AB551DD8BD0B786B4C2C74C1FB36FEE26ED11D491188F31E4,1
6,3,background_wall_deep_groove_r3,09E879732388273A1D5437379A72135B3C90B4BBA22FABB74D78A58A98DB8085,1
7,3,background_wall_dark_arch_r3,B10E9C7B3F70592CCBD537B3B328E5365D198B93BC5D538BA9D901F9041ACC73,1
8,3,background_wall_macro_block_r3,5304C5D9610B8724260B1AE5AAA584533E8EF85B778E2445403D71872D82CE62,1
9,3,background_wall_base_e_r3,83F3888CB077310C4633F598DB7C147A9DD005C35983897DFE0A83863E792641,1
