atlas_col_family,family_name,count,percent_of_288
0,background_wall_base_a,38,13.194
1,background_wall_base_b,27,9.375
2,background_wall_base_c,32,11.111
3,background_wall_base_d,33,11.458
4,background_wall_crack_a,8,2.778
5,background_wall_crack_b,8,2.778
6,background_wall_deep_groove,6,2.083
7,background_wall_dark_arch,6,2.083
8,background_wall_macro_block,8,2.778
9,background_wall_base_e,30,10.417
10,background_wall_base_f,15,5.208
11,background_wall_base_g,32,11.111
12,background_wall_base_h,29,10.069
13,background_wall_tide_mark,6,2.083
14,background_wall_damp_patch,6,2.083
15,background_wall_sealed_niche,4,1.389
