"Log","SCRIPT_ERROR","Parse_Error","ERROR_colon","WARNING_colon","CrashHandlerException"
"02_cold_first_editor_scan_formal","0","0","0","0","0"
"03_task58_specialized","0","0","0","0","0"
"04_task41","0","0","0","0","0"
"05_task43","0","0","0","0","0"
"06_task51_boss_projectile","0","0","0","0","0"
"07_task29","0","0","0","0","0"
"08_task31","0","0","0","0","0"
"09_task57","0","0","0","0","0"
"10b_task58_fresh_capture_formal","0","0","0","0","0"
"11_run_game_180_smoke","0","0","0","0","0"
"12_final_editor_scan","0","0","0","0","0"
"14_final_editor_scan_freeze","0","0","0","0","0"
