"Path","Expected","BaselineState","CandidateState","ColdState","CandidateColdMatch","Result"
"assets/generated/vfx/run_reward_chest/chest_closed.png","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_reward_chest/chest_closed.png.import","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_reward_chest/chest_open.png","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_reward_chest/chest_open.png.import","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_reward_chest/manifest.md","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_reward_chest/prompt.md","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_route_portal/manifest.md","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_route_portal/portal.png","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_route_portal/portal.png.import","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/generated/vfx/run_route_portal/prompt.md","D","PRESENT","ABSENT","ABSENT","True","PASS"
"assets/world/enemies/tidal_sentry/manifest_v1.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"assets/world/interactables/run_reward_chest/manifest_v2.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"assets/world/interactables/run_route_portal/manifest_v2.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"docs/art/像素美术规范_v1.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"docs/art/宝箱与传送门正式采纳交接清单.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"docs/vfx/final_asset_manifest.md","M","PRESENT","PRESENT","PRESENT","True","PASS"
"docs/agent_tasks/58_formal_interactables_wishing_crown_and_tidal_sentry.md","A","ABSENT","PRESENT","PRESENT","True","PASS"
"growth/tests/run_task41_physical_flow_waves_boss_tests.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"growth/tests/run_task43_combat_loadout_world_cleanup_tests.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"combat/tests/run_task31_full_run_e2e_tests.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"resources/run/rooms/combat_02_swarm.tres","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scenes/run/interactables/run_reward_chest.tscn","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scenes/run/interactables/run_route_portal.tscn","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scenes/run/rooms/room_shop_formal.tscn","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/run/run_flow_coordinator.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/run/run_flow_smoke_panel.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/run/run_room_instance.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/run/run_shop_room_instance.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/run/run_world_interactable.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"scripts/ui/run_overlay_interface.gd","M","PRESENT","PRESENT","PRESENT","True","PASS"
"combat/tests/capture_task58_formal_interactables_crown_sentry.gd","A","ABSENT","PRESENT","PRESENT","True","PASS"
"combat/tests/run_task58_formal_interactables_crown_sentry_tests.gd","A","ABSENT","PRESENT","PRESENT","True","PASS"
"scenes/run/enemies/tidal_sentry.tscn","A","ABSENT","PRESENT","PRESENT","True","PASS"
"scenes/run/interactables/run_wishing_crown.tscn","A","ABSENT","PRESENT","PRESENT","True","PASS"
"scripts/run/enemies/tidal_sentry.gd","A","ABSENT","PRESENT","PRESENT","True","PASS"
"docs/agent_tasks/evidence/task58/**","GLOB","ABSENT","FILES=118","FILES=118","PRE_RUN_TRUE; POST_RUN_7_FRESH_CAPTURE_OUTPUTS_DIFFER","PASS"
