run_agent_d_growth_integration_tests.gd | exit=0 | AGENT D TASK 10 TESTS PASSED: 10 tests, 145 assertions
run_agent_d_integration_tests.gd | exit=0 | AGENT D INTEGRATION TESTS PASSED: 9 tests, 73 assertions
run_combat_tests.gd | exit=0 | COMBAT TESTS PASSED: 27 tests, 124 assertions
run_compact_hud_reward_tests.gd | exit=0 | TASK 20 COMPACT HUD REWARD TESTS PASSED: 7 tests, 68 assertions
run_delivery_reuse_tests.gd | exit=0 | DELIVERY REUSE TESTS PASSED: 10 tests, 105 assertions
run_delivery_skill_integration_test.gd | exit=0 | DELIVERY/SKILL INTEGRATION TEST PASSED: 1 test, 4 assertions
run_delivery_tests.gd | exit=0 | DELIVERY TESTS PASSED: 16 tests, 56 assertions
run_first_batch_delivery_tests.gd | exit=0 | TASK 15 FIRST BATCH TESTS PASSED: 26 tests, 163 assertions
run_hud_loadout_feedback_tests.gd | exit=0 | TASK 12 HUD LOADOUT FEEDBACK TESTS PASSED: 13 tests, 113 assertions
run_passive_runtime_contract_tests.gd | exit=0 | TASK 14 PASSIVE TESTS PASSED: 6 tests, 65 assertions
run_skill_content_catalog_tests.gd | exit=0 | TASK 16 CONTENT CATALOG TESTS PASSED: 11 tests, 236 assertions
run_skill_execution_contract_tests.gd | exit=0 | TASK 14 EXECUTION TESTS PASSED: 16 tests, 102 assertions
run_skill_tests.gd | exit=0 | AGENT B SKILL TESTS PASSED: 28 tests, 144 assertions
run_skill_vfx_runtime_tests.gd | exit=0 | TASK 18 SKILL VFX RUNTIME TESTS PASSED: 9 tests, 124 assertions
run_task24_compact_hud_reward_tests.gd | exit=0 | TASK 24 COMPACT HUD REWARD TESTS PASSED: 10 tests, 237 assertions
run_task27_skill_level_effect_tests.gd | exit=0 | TASK 27 SKILL LEVEL EFFECT TESTS PASSED: 7 tests, 86 assertions
run_task28_seven_slot_passive_tests.gd | exit=0 | TASK 28 SEVEN SLOT PASSIVE TESTS PASSED: 6 tests, 154 assertions
run_task29_real_room_flow_tests.gd | exit=0 | TASK 29 REAL ROOM FLOW TESTS PASSED: 1 tests, 74 assertions
run_task30_run_ui_tests.gd | exit=1 | 
run_task31_full_run_e2e_tests.gd | exit=0 | TASK 31 FULL RUN E2E TESTS PASSED: 4 tests, 393 assertions
run_task34_performance_tests.gd | exit=0 | 
run_task34_projectile_cast_transaction_tests.gd | exit=0 | TASK 34 PROJECTILE CAST TRANSACTION TESTS PASSED: 11 tests, 211 assertions
run_task38_reclaim_reaction_energy_tests.gd | exit=0 | TASK 38 RECLAIM REACTION ENERGY TESTS PASSED: 3 tests, 38 assertions
run_task40_drag_compact_hud_tests.gd | exit=1 | 
run_task48_dodge_integration.gd | exit=0 | TASK 48 DODGE INTEGRATION TESTS PASSED: 5 tests, 55 assertions
run_task51_boss_projectile_spawn_clearance_tests.gd | exit=0 | TASK 51 BOSS PROJECTILE SPAWN CLEARANCE TESTS PASSED: 2 tests, 49 assertions
run_task56_dodge_live_enemy_passthrough_tests.gd | exit=0 | TASK 56 LIVE ENEMY DODGE PASSTHROUGH TESTS PASSED: 4 tests, 36 assertions
run_task57_full_room_background_collision_tests.gd | exit=0 | TASK 57 FULL ROOM TESTS PASSED: 5 tests, 205 assertions
run_task58_formal_interactables_crown_sentry_tests.gd | exit=1 | TASK 58 FORMAL INTERACTABLES CROWN SENTRY TESTS FAILED: 1 failures / 104 assertions
run_growth_06_contract_tests.gd | exit=0 | GROWTH 06 CONTRACT TESTS PASSED: 10 tests, 84 assertions
run_growth_contract_edge_tests.gd | exit=0 | GROWTH CONTRACT EDGE TESTS PASSED: 4 tests, 10 assertions
run_growth_session_isolation_test.gd | exit=0 | GROWTH SESSION ISOLATION TEST PASSED: 1 test, 5 assertions
run_growth_tests.gd | exit=0 | GROWTH TESTS PASSED: 25 tests, 155 assertions
run_reward_authority_tests.gd | exit=0 | REWARD AUTHORITY TESTS PASSED: 3 tests, 15 assertions
run_task25_immediate_shop_equip_tests.gd | exit=0 | TASK 25 IMMEDIATE SHOP EQUIP TESTS PASSED: 8 tests, 242 assertions
run_task27_run_economy_progression_tests.gd | exit=0 | TASK 27 RUN ECONOMY PROGRESSION TESTS PASSED: 11 tests, 315 assertions
run_task29_run_flow_contract_tests.gd | exit=0 | TASK 29 RUN FLOW CONTRACT TESTS PASSED: 6 tests, 128 assertions
run_task31_content_balance_tests.gd | exit=1 | 
run_task32_formal_four_passive_content_tests.gd | exit=1 | 
run_task41_physical_flow_waves_boss_tests.gd | exit=0 | TASK 41 PHYSICAL FLOW WAVES BOSS TESTS PASSED: 4 tests, 95 assertions
run_task42_reward_economy_tuning_tests.gd | exit=0 | TASK 42 REWARD ECONOMY TUNING TESTS PASSED: 3 tests, 2206 assertions
run_task43_combat_loadout_world_cleanup_tests.gd | exit=0 | Task43 combat/loadout/cleanup tests: 4 tests, 105 assertions, 0 failures
run_task49_five_stage_demo_flow_tests.gd | exit=0 | SUMMARY: 5 tests, 103 assertions, 0 failures
