run_agent_d_growth_integration_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_agent_d_integration_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_combat_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_compact_hud_reward_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_delivery_reuse_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_delivery_skill_integration_test.gd | exit=0 | markers=0 | UNKNOWN
run_delivery_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_first_batch_delivery_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_hud_loadout_feedback_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_passive_runtime_contract_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_skill_content_catalog_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_skill_execution_contract_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_skill_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_skill_vfx_runtime_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task24_compact_hud_reward_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task27_skill_level_effect_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task28_seven_slot_passive_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task29_real_room_flow_tests.gd | exit=0 | markers=0 | UNKNOWN
run_task30_run_ui_tests.gd | exit=1 | markers=5 | PASS_TEXT
run_task31_full_run_e2e_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task34_performance_tests.gd | exit=0 | markers=0 | UNKNOWN
run_task34_projectile_cast_transaction_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task38_reclaim_reaction_energy_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task40_drag_compact_hud_tests.gd | exit=1 | markers=1 | PASS_TEXT
run_task48_dodge_integration.gd | exit=0 | markers=0 | PASS_TEXT
run_task51_boss_projectile_spawn_clearance_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task56_dodge_live_enemy_passthrough_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task57_full_room_background_collision_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task58_formal_interactables_crown_sentry_tests.gd | exit=1 | markers=0 | PASS_TEXT
run_task59_enemy_projectile_profile_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task61_boss_three_form_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_growth_06_contract_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_growth_contract_edge_tests.gd | exit=0 | markers=0 | UNKNOWN
run_growth_session_isolation_test.gd | exit=0 | markers=0 | UNKNOWN
run_growth_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_reward_authority_tests.gd | exit=0 | markers=0 | UNKNOWN
run_task25_immediate_shop_equip_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task27_run_economy_progression_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task29_run_flow_contract_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task31_content_balance_tests.gd | exit=1 | markers=0 | PASS_TEXT
run_task32_formal_four_passive_content_tests.gd | exit=1 | markers=1 | PASS_TEXT
run_task41_physical_flow_waves_boss_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task42_reward_economy_tuning_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task43_combat_loadout_world_cleanup_tests.gd | exit=0 | markers=0 | PASS_TEXT
run_task49_five_stage_demo_flow_tests.gd | exit=0 | markers=0 | PASS_TEXT
DONE
