Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

ERROR: Failed to read the root certificate store.
   at: get_system_ca_certificates (platform/windows/os_windows.cpp:2582)
[godot_ai game_helper] registered mcp capture (debugger active=false, logger=true)
UNLISTED (not executed by default):
  res://combat/tests/run_task87_element_reaction_visual_tests.gd
tiers: core,feature,snapshot
child logs: C:/Users/heliashi/Documents/元素地牢-4.7/.godot/regression-gate-logs/2026-08-23 14-20-10-pid38316
tier       file                                                          tests   assertions   exit
core       run_combat_tests.gd                                              27          124      0
core       run_delivery_tests.gd                                            16           56      0
core       run_passive_runtime_contract_tests.gd                             6           65      0
core       run_growth_contract_edge_tests.gd                                 4           10      0
core       run_growth_session_isolation_test.gd                              1            5      0
core       run_growth_tests.gd                                              25          155      0
feature    run_reward_authority_tests.gd                                     3           15      0
snapshot   run_hud_loadout_feedback_tests.gd                                13          138      0
snapshot   run_skill_content_catalog_tests.gd                               11          243      0
snapshot   run_skill_vfx_runtime_tests.gd                                    9          132      0
snapshot   run_task24_compact_hud_reward_tests.gd                           10          233      0
snapshot   run_task29_real_room_flow_tests.gd                                1           74      0
snapshot   run_task30_run_ui_tests.gd                                        9           66      1
snapshot   run_task31_full_run_e2e_tests.gd                                  4          392      1
snapshot   run_task40_drag_compact_hud_tests.gd                              4          100      0
snapshot   run_task57_full_room_background_collision_tests.gd                5          207      0
snapshot   run_task69_boss_timing_and_standoff_tests.gd                      8          287      0
snapshot   run_task71_boss_cast_and_telegraph_tests.gd                       8          266      0
snapshot   run_task72_hud_layout_tests.gd                                    6           60      0
snapshot   run_task73_hud_theme_tests.gd                                     5           41      0
snapshot   run_task74_hud_density_tests.gd                                   5           29      0
snapshot   run_task75_world_prompt_font_and_motion_tests.gd                  1           22      0
snapshot   run_task76_boss_and_basic_attack_presentation_tests.gd            4           44      0
snapshot   run_task81_ignition_tests.gd                                      4           80      0
snapshot   run_task82_toggle_skill_hud_tests.gd                              3           14      0
snapshot   run_task84_shop_tab_layout_tests.gd                               1           16      0
snapshot   run_task25_immediate_shop_equip_tests.gd                          8          242      0
snapshot   run_task29_run_flow_contract_tests.gd                             6          128      0
snapshot   run_task31_content_balance_tests.gd                               9          311      1
snapshot   run_task32_formal_four_passive_content_tests.gd                   5          142      1
snapshot   run_task42_reward_economy_tuning_tests.gd                         3         2206      0
snapshot   run_task49_five_stage_demo_flow_tests.gd                          5          103      0

TOTAL: 32 files, 4 failed
